,Open,Date,Year
4393,48.400002,2022-01-01,2022
4394,50.709999,2023-01-01,2023
4395,54.09,2024-01-01,2024
4396,29.98,2018-08-01,2018
4397,21.75,2019-01-01,2019
4398,24.15,2020-01-01,2020
4399,53.0,2021-01-01,2021
4400,55.119999,2022-01-01,2022
4401,38.700001,2023-01-01,2023
4402,45.32,2024-01-01,2024
4403,4.98,2014-01-01,2014
4404,3.36,2015-01-01,2015
4405,3.72,2016-01-01,2016
4406,2.43,2017-01-01,2017
4407,4.74,2018-01-01,2018
4408,10.84,2019-01-01,2019
4409,10.25,2020-01-01,2020
4410,33.040001,2021-01-01,2021
4411,62.52,2022-01-01,2022
4412,16.99,2023-01-01,2023
4413,14.09,2024-01-01,2024
4414,27.209999,2014-01-01,2014
4415,29.65,2015-01-01,2015
4416,28.83,2016-01-01,2016
4417,37.200001,2017-01-01,2017
4418,48.200001,2018-01-01,2018
4419,48.400002,2019-01-01,2019
4420,63.0,2020-01-01,2020
4421,93.849998,2021-01-01,2021
4422,107.330002,2022-01-01,2022
4423,108.889999,2023-01-01,2023
4424,152.580002,2024-01-01,2024
4425,28.940001,2016-01-01,2016
4426,24.32,2017-01-01,2017
4427,45.939999,2018-01-01,2018
4428,85.82,2019-01-01,2019
4429,121.150002,2020-01-01,2020
4430,234.5,2021-01-01,2021
4431,380.429993,2022-01-01,2022
4432,131.910004,2023-01-01,2023
4433,235.009995,2024-01-01,2024
4434,61.779999,2014-01-01,2014
4435,63.880001,2015-01-01,2015
4436,47.919998,2016-01-01,2016
4437,65.800003,2017-01-01,2017
4438,76.25,2018-01-01,2018
4439,63.169998,2019-01-01,2019
4440,100.199997,2020-01-01,2020
4441,121.68,2021-01-01,2021
4442,195.419998,2022-01-01,2022
4443,147.619995,2023-01-01,2023
4444,206.720001,2024-01-01,2024
4445,32.189999,2019-11-01,2019
4446,36.540001,2020-01-01,2020
4447,48.259998,2021-01-01,2021
4448,102.0,2022-01-01,2022
4449,69.480003,2023-01-01,2023
4450,149.850006,2024-01-01,2024
4451,14.8,2015-07-01,2015
4452,14.52,2016-01-01,2016
4453,23.950001,2017-01-01,2017
4454,41.5,2018-01-01,2018
4455,57.939999,2019-01-01,2019
4456,110.610001,2020-01-01,2020
4457,180.039993,2021-01-01,2021
4458,121.120003,2022-01-01,2022
4459,106.480003,2023-01-01,2023
4460,171.979996,2024-01-01,2024
4461,17.99,2014-01-01,2014
4462,22.559999,2015-01-01,2015
4463,15.1,2016-01-01,2016
4464,14.68,2017-01-01,2017
4465,19.5,2018-01-01,2018
4466,22.57,2019-01-01,2019
4467,25.91,2020-01-01,2020
4468,27.969999,2021-01-01,2021
4469,41.5,2022-01-01,2022
4470,19.84,2023-01-01,2023
4471,16.57,2024-01-01,2024
4472,34.25,2019-10-01,2019
4473,38.220001,2020-01-01,2020
4474,98.690002,2021-01-01,2021
4475,178.75,2022-01-01,2022
4476,75.195,2023-01-01,2023
4477,119.224998,2024-01-01,2024
4478,50.636364,2014-01-01,2014
4479,40.659092,2015-01-01,2015
4480,38.28788,2016-01-01,2016
4481,56.030304,2017-01-01,2017
4482,48.599998,2018-01-01,2018
4483,52.110001,2019-01-01,2019
4484,58.029999,2020-01-01,2020
4485,39.330002,2021-01-01,2021
4486,39.560001,2022-01-01,2022
4487,46.27,2023-01-01,2023
4488,44.66,2024-01-01,2024
4489,9.91,2021-12-01,2021
4490,9.93,2022-01-01,2022
4491,10.2,2023-01-01,2023
4492,10.99,2024-01-01,2024
4493,26.0,2018-06-01,2018
4494,15.17,2019-01-01,2019
4495,18.35,2020-01-01,2020
4496,19.98,2021-01-01,2021
4497,6.92,2022-01-01,2022
4498,4.02,2023-01-01,2023
4499,3.56,2024-01-01,2024
4500,13.19,2014-01-01,2014
4501,14.55,2015-01-01,2015
4502,11.47,2016-01-01,2016
4503,16.0,2017-01-01,2017
4504,24.469999,2018-01-01,2018
4505,19.889999,2019-01-01,2019
4506,27.5,2020-01-01,2020
4507,32.220001,2021-01-01,2021
4508,60.669998,2022-01-01,2022
4509,45.09,2023-01-01,2023
4510,53.84,2024-01-01,2024
4511,2.8,2018-04-01,2018
4512,2.2,2019-01-01,2019
4513,4.5,2020-01-01,2020
4514,6.96,2021-01-01,2021
4515,5.0,2022-01-01,2022
4516,1.98,2023-01-01,2023
4517,4.94,2024-01-01,2024
4518,23.700001,2021-11-01,2021
4519,21.17,2022-01-01,2022
4520,4.33,2023-01-01,2023
4521,5.96,2024-01-01,2024
4522,7.320819,2014-01-01,2014
4523,7.838453,2015-01-01,2015
4524,5.99,2016-01-01,2016
4525,8.25,2017-01-01,2017
4526,8.78,2018-01-01,2018
4527,9.88,2019-01-01,2019
4528,15.22,2020-01-01,2020
4529,15.13,2021-01-01,2021
4530,17.299999,2022-01-01,2022
4531,10.59,2023-01-01,2023
4532,9.87,2024-01-01,2024
4533,25.23,2014-01-01,2014
4534,21.83,2015-01-01,2015
4535,26.299999,2016-01-01,2016
4536,39.84,2017-01-01,2017
4537,42.5,2018-01-01,2018
4538,35.639999,2019-01-01,2019
4539,68.099998,2020-01-01,2020
4540,86.949997,2021-01-01,2021
4541,121.970001,2022-01-01,2022
4542,70.599998,2023-01-01,2023
4543,65.919998,2024-01-01,2024
4544,34.25,2014-01-01,2014
4545,36.669998,2015-01-01,2015
4546,31.139999,2016-01-01,2016
4547,41.799999,2017-01-01,2017
4548,40.450001,2018-01-01,2018
4549,22.82,2019-01-01,2019
4550,39.5,2020-01-01,2020
4551,38.68,2021-01-01,2021
4552,49.41,2022-01-01,2022
4553,44.880001,2023-01-01,2023
4554,22.5,2024-01-01,2024
4555,2.2,2014-01-01,2014
4556,1.82,2015-01-01,2015
4557,2.6,2016-01-01,2016
4558,1.5,2017-01-01,2017
4559,1.5,2018-01-01,2018
4560,0.32,2019-01-01,2019
4561,1.15,2020-01-01,2020
4562,5.25,2021-01-01,2021
4563,1.55,2022-01-01,2022
4564,0.99,2023-01-01,2023
4565,1.08,2024-01-01,2024
4566,12.2,2022-05-01,2022
4567,1.75,2023-01-01,2023
4568,2.13,2024-01-01,2024
4569,18.129999,2023-09-01,2023
4570,28.879999,2024-01-01,2024
4571,8.48,2021-04-01,2021
4572,5.52,2022-01-01,2022
4573,1.34,2023-01-01,2023
4574,0.94,2024-01-01,2024
4575,19.845715,2014-01-01,2014
4576,27.8475,2015-01-01,2015
4577,25.6525,2016-01-01,2016
4578,28.950001,2017-01-01,2017
4579,42.540001,2018-01-01,2018
4580,38.7225,2019-01-01,2019
4581,74.059998,2020-01-01,2020
4582,133.520004,2021-01-01,2021
4583,177.830002,2022-01-01,2022
4584,130.279999,2023-01-01,2023
4585,187.149994,2024-01-01,2024
4586,28.98,2018-11-01,2018
4587,18.290001,2019-01-01,2019
4588,40.740002,2020-01-01,2020
4589,85.0,2021-01-01,2021
4590,17.059999,2022-01-01,2022
4591,9.47,2023-01-01,2023
4592,17.76,2024-01-01,2024
4593,50.810001,2020-07-01,2020
4594,48.02,2021-01-01,2021
4595,64.660004,2022-01-01,2022
4596,30.67,2023-01-01,2023
4597,18.280001,2024-01-01,2024
4598,40.194489,2014-01-01,2014
4599,42.568882,2015-01-01,2015
4600,31.28039,2016-01-01,2016
4601,41.515396,2017-01-01,2017
4602,48.598057,2018-01-01,2018
4603,29.367908,2019-01-01,2019
4604,43.759998,2020-01-01,2020
4605,21.290001,2021-01-01,2021
4606,26.59,2022-01-01,2022
4607,16.9,2023-01-01,2023
4608,16.16,2024-01-01,2024
4609,1.05,2014-01-01,2014
4610,1.24,2015-01-01,2015
4611,1.15,2016-01-01,2016
4612,1.15,2017-01-01,2017
4613,1.89,2018-01-01,2018
4614,2.88,2019-01-01,2019
4615,2.15,2020-01-01,2020
4616,4.21,2021-01-01,2021
4617,7.4,2022-01-01,2022
4618,6.29,2023-01-01,2023
4619,5.22,2024-01-01,2024
4620,5.83,2014-01-01,2014
4621,13.36,2015-01-01,2015
4622,13.8,2016-01-01,2016
4623,19.25,2017-01-01,2017
4624,34.549999,2018-01-01,2018
4625,14.37,2019-01-01,2019
4626,24.32,2020-01-01,2020
4627,25.690001,2021-01-01,2021
4628,40.200001,2022-01-01,2022
4629,43.349998,2023-01-01,2023
4630,30.530001,2024-01-01,2024
4631,45.75,2014-01-01,2014
4632,52.98,2015-01-01,2015
4633,36.599998,2016-01-01,2016
4634,48.529999,2017-01-01,2017
4635,59.639999,2018-01-01,2018
4636,62.200001,2019-01-01,2019
4637,97.620003,2020-01-01,2020
4638,119.790001,2021-01-01,2021
4639,136.580002,2022-01-01,2022
4640,93.0,2023-01-01,2023
4641,127.550003,2024-01-01,2024
4642,14.04,2014-01-01,2014
4643,7.87,2015-01-01,2015
4644,6.15,2016-01-01,2016
4645,8.15,2017-01-01,2017
4646,7.1,2018-01-01,2018
4647,7.0,2019-01-01,2019
4648,8.71,2020-01-01,2020
4649,19.110001,2021-01-01,2021
4650,10.25,2022-01-01,2022
4651,5.29,2023-01-01,2023
4652,2.56,2024-01-01,2024
4653,15.295359,2018-11-01,2018
4654,14.2827,2019-01-01,2019
4655,19.820675,2020-01-01,2020
4656,15.812236,2021-01-01,2021
4657,14.25,2022-01-01,2022
4658,9.48,2023-01-01,2023
4659,12.25,2024-01-01,2024
4660,33.029999,2014-01-01,2014
4661,27.1,2015-01-01,2015
4662,38.860001,2016-01-01,2016
4663,58.099998,2017-01-01,2017
4664,63.900002,2018-01-01,2018
4665,62.869999,2019-01-01,2019
4666,78.879997,2020-01-01,2020
4667,134.300003,2021-01-01,2021
4668,115.760002,2022-01-01,2022
4669,139.0,2023-01-01,2023
4670,160.330002,2024-01-01,2024
4671,12.17,2021-11-01,2021
4672,17.18,2022-01-01,2022
4673,3.59,2023-01-01,2023
4674,7.92,2024-01-01,2024
4675,14.15,2014-01-01,2014
4676,23.91,2015-01-01,2015
4677,30.9,2016-01-01,2016
4678,42.830002,2017-01-01,2017
4679,53.5,2018-01-01,2018
4680,34.009998,2019-01-01,2019
4681,51.0,2020-01-01,2020
4682,48.790001,2021-01-01,2021
4683,95.849998,2022-01-01,2022
